full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Najee Harris,RB,LAC,28,4,11.55,0.76,0.51,225.64,132.83,88.09
Jaylen Waddle,WR,MIA,28,4,10.76,0.87,0.56,345.54,252.58,87.72
Tyler Warren,TE,IND,24,0,8.13,0.92,0.43,627.40,538.49,85.06
Jameson Williams,WR,DET,25,3,9.26,0.72,0.62,384.09,293.76,84.77
Jerry Jeudy,WR,CLE,27,5,9.76,0.86,0.64,369.83,281.64,82.57
DK Metcalf,WR,PIT,29,6,11.98,0.89,0.50,305.23,218.44,82.40
Jaxson Dart,QB,NYG,23,0,14.52,0.86,0.58,1296.87,1210.13,81.70
Harold Fannin Jr.,TE,CLE,22,0,6.65,0.89,0.49,717.32,631.61,81.52
David Montgomery,RB,DET,29,6,11.24,0.85,0.51,201.73,118.11,79.36
Parker Washington,WR,JAX,24,2,8.09,0.71,0.71,407.18,322.01,79.13
Cam Skattebo,RB,NYG,24,0,8.11,0.67,0.55,294.94,211.29,79.07
Michael Pittman,WR,IND,29,5,11.74,0.91,0.52,308.62,225.28,79.02
Tua Tagovailoa,QB,MIA,28,5,16.86,0.80,0.49,934.15,851.31,78.77
Romeo Doubs,WR,GB,26,3,9.22,0.81,0.58,370.27,287.27,78.18
RJ Harvey,RB,DEN,25,0,8.14,0.91,0.62,337.80,255.71,76.97
Colston Loveland,TE,CHI,22,0,6.64,0.87,0.75,695.47,613.04,76.28
DJ Moore,WR,CHI,29,7,11.60,0.93,0.62,298.83,218.04,75.75
Elic Ayomanor,WR,TEN,23,0,6.94,0.91,0.58,501.04,422.22,74.29
Rhamondre Stevenson,RB,NE,28,4,10.89,0.81,0.64,219.78,140.83,73.91
Quentin Johnston,WR,LAC,25,2,8.71,0.82,0.71,409.83,333.27,71.10
Alvin Kamara,RB,NO,31,8,14.31,0.76,0.53,129.32,55.40,70.00
Josh Downs,WR,IND,25,2,8.54,0.88,0.57,431.56,357.87,69.47
Tank Dell,WR,HOU,27,2,9.56,0.76,0.61,320.53,249.31,66.87
Brandon Aiyuk,WR,SF,28,5,10.11,0.79,0.56,279.72,213.22,62.80
Michael Wilson,WR,ARI,26,2,8.77,0.85,0.73,366.76,299.10,62.69
Rachaad White,RB,TB,27,3,10.10,0.90,0.57,257.12,191.50,61.85
Tyreek Hill,WR,MIA,32,9,14.55,0.77,0.57,144.95,79.65,61.56
Jakobi Meyers,WR,JAX,30,6,11.36,0.87,0.45,229.10,168.04,58.30
Deebo Samuel Sr.,WR,WAS,30,6,11.40,0.86,0.59,226.09,165.14,57.37
Diontae Johnson,WR,CLE,30,6,11.65,0.78,0.52,214.30,154.18,56.98
Chris Godwin Jr.,WR,TB,30,8,11.90,0.71,0.50,199.01,140.20,55.88
Aidan Hutchinson,DL,DET,26,3,13.77,0.78,0.75,384.22,324.03,55.67
Austin Ekeler,RB,WAS,31,8,13.37,0.67,0.52,106.06,48.64,54.45
Chuba Hubbard,RB,CAR,27,4,9.81,0.85,0.68,237.48,181.96,51.73
Travis Hunter,WR,JAX,23,0,6.86,0.67,0.57,365.87,311.76,51.01
Derrick Henry,RB,BAL,32,9,13.50,0.88,0.52,94.08,41.39,49.94
Sam LaPorta,TE,DET,25,2,8.78,0.80,0.54,469.65,417.57,49.28
James Conner,RB,ARI,31,8,12.42,0.68,0.51,100.53,49.60,48.31
Courtland Sutton,WR,DEN,31,7,11.35,0.89,0.56,181.87,131.01,47.99
Sam Darnold,QB,SEA,29,7,16.41,0.79,0.67,811.05,759.86,47.76
J.J. McCarthy,QB,MIN,23,1,14.19,0.76,0.59,1112.80,1062.56,47.25
Leonard Fournette,RB,BUF,31,6,12.23,0.67,0.62,97.81,49.01,45.76
Gabe Davis,WR,BUF,27,5,9.08,0.65,0.74,241.31,193.02,44.69
Micah Parsons,LB,GB,27,4,14.07,0.81,0.67,369.51,323.46,42.97
Kyle Monangai,RB,CHI,24,0,7.12,0.91,0.76,331.79,285.57,42.71
Terry McLaurin,WR,WAS,31,6,11.03,0.84,0.48,166.73,123.57,41.11
J.K. Dobbins,RB,DEN,28,5,9.49,0.58,0.46,136.77,96.20,38.68
Aaron Jones,RB,MIN,32,8,12.28,0.81,0.53,78.70,38.07,38.47
Alec Pierce,WR,IND,26,3,8.13,0.82,0.70,296.75,255.53,38.35
Christian Watson,WR,GB,27,3,8.70,0.71,0.72,249.04,208.05,38.05
Davante Adams,WR,LA,34,11,15.98,0.87,0.56,77.11,37.51,37.40
Marquise Brown,WR,KC,29,6,10.48,0.69,0.56,183.83,144.95,36.69
Justin Fields,QB,NYJ,27,4,16.10,0.70,0.62,824.14,785.14,36.57
Myles Garrett,DL,CLE,31,8,16.53,0.87,0.75,191.46,152.01,36.49
Woody Marks,RB,HOU,26,0,7.99,0.88,0.76,255.53,216.64,35.92
Jordan Love,QB,GB,28,5,16.07,0.76,0.58,813.83,776.64,35.03
Elijah Moore,WR,DEN,26,4,8.11,0.75,0.75,270.07,233.17,34.14
Stefon Diggs,WR,NE,33,10,12.85,0.84,0.48,91.70,55.84,34.13
