full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Neville Hewitt,LB,NYG,33,10,4.35,0.52,1.12,0.00,0.00,0.00
Chris Manhertz,TE,NYG,34,10,2.52,0.37,0.82,0.00,0.00,0.00
Jalyn Holmes,DL,WAS,30,7,4.29,0.42,0.92,0.00,0.00,0.00
DeMarvin Leal,LB,PIT,26,3,3.94,0.38,0.98,0.00,0.00,0.00
D.J. Ivey,DB,CIN,26,2,4.51,0.46,0.72,0.00,0.00,0.00
Chris Rumph II,LB,NO,28,4,4.51,0.62,1.12,0.00,0.00,0.00
Zayne Anderson,DB,GB,29,4,3.85,0.47,1.57,0.00,0.00,0.00
Thakarius Keyes,DB,CLE,29,3,5.18,0.68,0.00,0.00,0.00,0.00
Joe Tryon-Shoyinka,DL,CHI,27,4,5.73,0.70,0.98,0.00,0.00,0.00
Chris Williamson,DB,TEN,29,2,5.11,0.69,0.00,0.00,0.00,0.00
Terrell Burgess,DB,NO,29,5,4.35,0.47,0.78,0.00,0.00,0.00
Tutu Atwell,WR,LA,27,4,6.65,0.61,0.68,0.00,0.00,0.00
Ben Skowronek,WR,PIT,29,4,3.75,0.67,0.94,0.00,0.00,0.00
Pat Freiermuth,TE,PIT,28,4,6.68,0.83,0.59,0.00,0.00,0.00
Milton Williams,DL,NE,27,4,6.46,0.70,0.90,0.00,0.00,0.00
Bo Melton,DB,GB,27,3,4.74,0.58,1.25,0.00,0.00,0.00
Elijah Hicks,DB,CHI,27,3,3.82,0.59,0.83,0.00,0.00,0.00
Kylen Granson,TE,PHI,28,4,3.89,0.68,0.74,0.00,0.00,0.00
Isaiah McDuffie,LB,GB,27,4,5.49,0.74,0.80,0.00,0.00,0.00
Grant Stuard,LB,DET,28,4,3.52,0.46,0.98,0.00,0.00,0.00
Devon Key,DB,DEN,29,4,4.31,0.67,0.58,0.00,0.00,0.00
Charles Snowden,DL,LV,28,4,5.48,0.76,1.21,0.00,0.00,0.00
Jack Stoll,TE,NO,28,4,2.75,0.44,0.87,0.00,0.00,0.00
Damion Square,DL,CIN,37,8,4.31,0.72,1.35,0.00,0.00,0.00
Xavier McKinney,DB,GB,27,5,9.19,0.85,0.69,0.00,0.00,0.00
Jabaal Sheard,DL,MIA,37,10,0.00,0.66,,0.00,0.00,0.00
Darnay Holmes,DB,LV,28,5,5.25,0.57,0.87,0.00,0.00,0.00
Danny Trevathan,LB,CHI,36,9,4.17,0.75,0.54,0.00,0.00,0.00
Claudin Cherelus,LB,CAR,27,2,4.01,0.57,0.81,0.00,0.00,0.00
Josh Tupou,DL,BAL,32,8,3.88,0.38,1.30,0.00,0.00,0.00
John Simon,DL,PIT,36,8,4.55,0.71,0.31,0.00,0.00,0.00
Mike Glennon,QB,MIA,37,9,11.97,0.78,0.96,0.00,0.00,0.00
Nate Adkins,TE,DEN,27,2,2.81,0.52,0.79,0.00,0.00,0.00
D'Marco Jackson,LB,CHI,28,3,4.31,0.54,1.62,0.00,0.00,0.00
Brandon Pili,DL,SEA,27,2,4.39,0.31,0.88,0.00,0.00,0.00
Scott Matlock,RB,LAC,26,2,3.50,0.46,1.06,0.00,0.00,0.00
Roy Lopez,DL,DET,29,4,4.89,0.63,0.93,0.00,0.00,0.00
Tyler Johnson,WR,NYJ,28,5,5.61,0.52,0.64,0.00,0.00,0.00
Justin Strnad,LB,DEN,30,5,6.17,0.62,0.90,0.00,0.00,0.00
"Kenneth Murray, Jr.",LB,DAL,28,5,7.62,0.78,0.78,0.00,0.00,0.00
Nick Bolton,LB,KC,26,4,9.60,0.85,0.59,0.00,0.00,0.00
Kwity Paye,DL,IND,28,4,7.95,0.76,0.86,0.00,0.00,0.00
Dayo Odeyingbo,DL,CHI,27,4,7.00,0.66,1.14,0.00,0.00,0.00
Jamien Sherwood,LB,NYJ,26,4,7.52,0.75,0.86,0.00,0.00,0.00
Preston Smith,DL,WAS,34,10,7.92,0.71,0.92,0.00,0.00,0.00
Hardy Nickerson,LB,HOU,32,4,4.33,0.71,0.00,0.00,0.00,0.00
Jordyn Brooks,LB,MIA,29,5,10.42,0.92,0.56,0.00,0.00,0.00
Adam Shaheen,TE,MIA,32,5,3.73,0.75,0.53,0.00,0.00,0.00
Travis Benjamin,WR,SF,37,9,5.02,0.69,0.00,0.00,0.00,0.00
Darrell Taylor,DL,NE,29,5,7.66,0.60,0.89,0.00,0.00,0.00
Kristian Fulton,DB,KC,28,5,7.04,0.63,0.65,0.00,0.00,0.00
Zack Baun,LB,PHI,30,5,8.71,0.76,0.88,0.00,0.00,0.00
Adam Trautman,TE,DEN,29,5,3.86,0.66,0.80,0.00,0.00,0.00
Michael Carter II,DB,PHI,27,4,5.45,0.69,0.70,0.00,0.00,0.00
Demetrius Flannigan-Fowles,LB,NYG,30,6,4.60,0.51,1.08,0.00,0.00,0.00
Carlos Basham,LB,LV,29,4,4.30,0.41,1.17,0.00,0.00,0.00
Mykal Walker,LB,NYJ,29,5,5.09,0.58,0.99,0.00,0.00,0.00
Tarron Jackson,LB,SF,28,4,4.27,0.79,1.14,0.00,0.00,0.00
Curtis Samuel,WR,BUF,30,8,7.06,0.67,0.77,0.00,0.00,0.00
Joshua Dobbs,QB,NE,31,8,12.89,0.46,0.71,0.00,0.00,0.00
Clark Phillips III,DB,ATL,25,2,5.76,0.54,0.89,0.00,0.00,0.00
Jarrod Wilson,DB,SF,32,5,5.44,0.74,1.16,0.00,0.00,0.00
Gardner Minshew,QB,KC,30,6,11.96,0.55,0.76,0.00,0.00,0.00
Scott Miller,WR,PIT,29,6,4.66,0.46,0.69,0.00,0.00,0.00
Mario Edwards,DL,HOU,32,10,6.11,0.55,0.86,0.00,0.00,0.00
Kyle Allen,QB,DET,30,7,7.78,0.33,1.81,0.00,0.00,0.00
Ugo Amadi,DB,NO,29,6,7.29,0.45,0.81,0.00,0.00,0.00
Parry Nickerson,DB,PHI,32,7,4.88,0.36,0.41,0.00,0.00,0.00
Will Fuller,WR,MIA,32,5,5.44,0.71,0.73,0.00,0.00,0.00
Maurice Canady,DB,NYG,32,6,4.81,0.71,0.61,0.00,0.00,0.00
Cameron Batson,WR,ATL,31,4,5.15,0.72,0.84,0.00,0.00,0.00
Cameron Latu,TE,PHI,26,2,2.87,0.63,0.35,0.00,0.00,0.00
Mazi Smith,DL,NYJ,25,2,4.30,0.53,0.71,0.00,0.00,0.00
Patrick Johnson,LB,NE,28,4,3.35,0.43,0.93,0.00,0.00,0.00
David Ojabo,LB,BAL,26,3,4.38,0.45,1.04,0.00,0.00,0.00
Nephi Sewell,LB,CHI,28,3,4.71,0.39,1.41,0.00,0.00,0.00
Tomon Fox,LB,NYG,28,3,4.46,0.39,1.13,0.00,0.00,0.00
Tay Martin,WR,WAS,29,3,4.69,0.34,0.90,0.00,0.00,0.00
Darius Harris,LB,NE,30,6,4.66,0.37,1.35,0.00,0.00,0.00
Ryan Smith,DB,TB,33,6,5.11,0.69,0.71,0.00,0.00,0.00
Antony Auclair,TE,TEN,33,5,3.18,0.72,0.65,0.00,0.00,0.00
Dee Eskridge,WR,MIA,29,4,3.74,0.37,0.92,0.00,0.00,0.00
Tre Avery,DB,CLE,29,3,4.79,0.48,1.00,0.00,0.00,0.00
Isaiah Ford,WR,CHI,30,6,4.71,0.78,0.71,0.00,0.00,0.00
James Mitchell,TE,CAR,27,3,2.96,0.43,0.63,0.00,0.00,0.00
Jovante Moffatt,DB,ARI,30,3,5.15,0.69,1.06,0.00,0.00,0.00
Montaric Brown,DB,JAX,27,3,7.33,0.66,0.65,0.00,0.00,0.00
Chris Williams,DL,CHI,28,5,4.07,0.55,1.08,0.00,0.00,0.00
Cethan Carter,TE,MIA,31,5,2.96,0.74,0.30,0.00,0.00,0.00
Bobby Okereke,LB,NYG,30,6,9.54,0.89,0.58,0.00,0.00,0.00
Dawson Knox,TE,BUF,30,6,6.05,0.79,0.69,0.00,0.00,0.00
Germaine Pratt,LB,IND,30,6,8.64,0.89,0.61,0.00,0.00,0.00
Jamel Dean,DB,TB,30,6,7.70,0.76,0.81,0.00,0.00,0.00
Christian Braswell,DB,JAX,27,2,5.26,0.47,0.62,0.00,0.00,0.00
Blake Whiteheart,TE,CLE,26,2,2.86,0.50,1.08,0.00,0.00,0.00
Greg Gaines,DL,TB,30,6,4.76,0.61,1.03,0.00,0.00,0.00
Nick Scott,DB,CAR,31,6,5.33,0.78,0.73,0.00,0.00,0.00
Cody Barton,LB,TEN,30,6,7.38,0.86,0.84,0.00,0.00,0.00
Jerry Tillery,DL,KC,30,6,4.18,0.67,0.99,0.00,0.00,0.00
Andrew Sendejo,DB,IND,39,11,5.37,0.81,0.59,0.00,0.00,0.00
Pharaoh Brown,TE,ARI,32,8,3.25,0.50,0.78,0.00,0.00,0.00
Princeton Fant,TE,DAL,27,2,0.00,0.34,,0.00,0.00,0.00
Jarrick Bernard-Converse,DB,NYG,26,2,4.77,0.31,0.00,0.00,0.00,0.00
Jaylon Jones,DB,IND,24,2,6.43,0.74,0.81,0.00,0.00,0.00
Devin White,LB,LV,28,6,9.56,0.80,0.78,0.00,0.00,0.00
Amani Oruwariye,DB,BAL,30,6,7.36,0.49,0.71,0.00,0.00,0.00
Joshua Uche,LB,PHI,28,5,6.64,0.57,1.17,0.00,0.00,0.00
Henry Black,DB,ATL,29,5,4.83,0.85,0.93,0.00,0.00,0.00
Trevon Diggs,DB,GB,28,5,7.84,0.64,0.77,0.00,0.00,0.00
Neville Gallimore,DL,IND,29,5,4.70,0.56,0.95,0.00,0.00,0.00
Quincy Williams,LB,NYJ,30,6,10.17,0.87,0.66,0.00,0.00,0.00
Joe Bachie,LB,TEN,28,5,3.77,0.37,0.78,0.00,0.00,0.00
Azur Kamara,DL,KC,28,2,4.30,0.69,0.00,0.00,0.00,0.00
Jalen Thompson,DB,ARI,28,6,7.98,0.87,0.69,0.00,0.00,0.00
Sam Franklin Jr.,DB,BUF,30,5,3.94,0.53,1.36,0.00,0.00,0.00
Davion Taylor,LB,ARI,28,3,4.87,0.79,0.97,0.00,0.00,0.00
Tyree Gillespie,DB,KC,29,3,5.18,0.68,0.00,0.00,0.00,0.00
Quinnen Williams,DL,DAL,29,6,8.92,0.87,0.78,0.00,0.00,0.00
Dre'Mont Jones,LB,BAL,29,6,7.37,0.82,0.98,0.00,0.00,0.00
Cody White,WR,SEA,28,5,3.89,0.39,1.05,0.00,0.00,0.00
Jonah Williams,DL,NO,31,5,4.46,0.52,1.20,0.00,0.00,0.00
Baylon Spector,LB,BUF,28,3,4.47,0.39,1.19,0.00,0.00,0.00
Keith Taylor,DB,JAX,27,4,4.77,0.44,1.25,0.00,0.00,0.00
Kristian Welch,LB,GB,28,5,3.03,0.34,0.41,0.00,0.00,0.00
Myles Bryant,DB,HOU,28,5,6.08,0.65,0.69,0.00,0.00,0.00
Lonnie Johnson,DB,LV,31,6,4.21,0.52,1.07,0.00,0.00,0.00
A.J. Epenesa,DL,BUF,28,5,7.78,0.78,1.06,0.00,0.00,0.00
Lew Nichols III,RB,PIT,25,2,0.00,0.46,,0.00,0.00,0.00
Justin Hamilton,DL,WAS,33,7,4.09,0.74,0.61,0.00,0.00,0.00
Derrick Brown,DL,CAR,28,5,7.78,0.71,0.79,0.00,0.00,0.00
Brandon Jones,DB,DEN,28,5,8.68,0.74,0.77,0.00,0.00,0.00
Malik Harrison,LB,PIT,28,5,3.93,0.62,0.90,0.00,0.00,0.00
Jesse James,TE,LV,32,8,3.49,0.71,0.73,0.00,0.00,0.00
Jonathan Greenard,LB,MIN,29,5,11.47,0.73,0.74,0.00,0.00,0.00
Khalil Dorsey,DB,DET,28,5,3.93,0.49,1.07,0.00,0.00,0.00
Nnamdi Madubuike,DL,BAL,29,5,8.90,0.69,0.77,0.00,0.00,0.00
Chris Westry,DB,CAR,29,3,5.87,0.74,0.60,0.00,0.00,0.00
Geno Stone,DB,CIN,27,5,7.65,0.82,0.88,0.00,0.00,0.00
Adrian Martinez,QB,SF,26,2,10.84,0.52,0.00,0.00,0.00,0.00
Kenny Stills,WR,NO,34,8,5.59,0.74,0.91,0.00,0.00,0.00
Treylon Burks,WR,WAS,26,3,5.76,0.53,0.74,0.00,0.00,0.00
Jimmy Smith,DB,BAL,38,10,5.03,0.78,0.47,0.00,0.00,0.00
Andre Baccellia,WR,ARI,29,5,4.56,0.38,0.41,0.00,0.00,0.00
Mecole Hardman,WR,BUF,28,6,6.48,0.48,0.77,0.00,0.00,0.00
Christian Rozeboom,LB,CAR,29,5,6.64,0.74,0.87,0.00,0.00,0.00
Kentavius Street,DL,ATL,30,7,5.32,0.55,0.96,0.00,0.00,0.00
Dante Pettis,WR,NO,31,7,5.46,0.49,0.76,0.00,0.00,0.00
Patrick O'Connell,LB,SEA,28,2,4.56,0.36,1.53,0.00,0.00,0.00
Margus Hunt,DL,CHI,39,8,4.40,0.72,0.80,0.00,0.00,0.00
Zach Kerr,DL,CIN,36,7,4.30,0.69,0.00,0.00,0.00,0.00
Jameis Winston,QB,NYG,32,10,12.90,0.47,0.85,0.00,0.00,0.00
Marlon Humphrey,DB,BAL,30,8,9.94,0.79,0.56,0.00,0.00,0.00
T.J. Maguranyanga,DL,WAS,24,0,0.00,0.47,,0.00,0.00,0.00
Matt Dickerson,DL,JAX,31,7,3.80,0.45,0.61,0.00,0.00,0.00
Jalen Davis,DB,CIN,30,7,4.84,0.36,1.09,0.00,0.00,0.00
D'Angelo Ross,DB,CLE,30,6,4.60,0.39,1.09,0.00,0.00,0.00
Jalen Graham,LB,SF,25,2,4.25,0.33,0.91,0.00,0.00,0.00
Ameer Speed,DB,HOU,27,2,4.60,0.46,1.04,0.00,0.00,0.00
James Proche,WR,TEN,30,5,4.56,0.35,0.91,0.00,0.00,0.00
DJ Turner,WR,LV,29,4,4.27,0.44,0.95,0.00,0.00,0.00
Johnny Mundt,TE,JAX,32,8,3.36,0.60,0.81,0.00,0.00,0.00
Rasul Douglas,DB,MIA,32,8,9.04,0.85,0.80,0.00,0.00,0.00
DeMarcus Walker,DL,WAS,32,8,6.38,0.65,0.83,0.00,0.00,0.00
Deane Leonard,DB,LAC,27,3,4.87,0.42,0.79,0.00,0.00,0.00
Britain Covey,WR,PHI,29,3,5.15,0.30,0.69,0.00,0.00,0.00
Caleb Johnson,LB,MIA,28,4,2.94,0.39,0.72,0.00,0.00,0.00
Sam Kamara,DL,CLE,29,4,4.39,0.37,0.85,0.00,0.00,0.00
Asante Samuel Jr.,DB,PIT,27,4,6.63,0.63,0.67,0.00,0.00,0.00
Reese Taylor,DB,DEN,27,2,4.96,0.53,0.00,0.00,0.00,0.00
Philip Rivers,QB,IND,45,21,11.79,0.57,0.48,0.00,0.00,0.00
Chuck Clark,DB,PIT,31,8,6.31,0.77,0.90,0.00,0.00,0.00
Malik Cunningham,WR,DET,28,2,4.93,0.38,0.00,0.00,0.00,0.00
Jamal Agnew,WR,WAS,31,8,5.29,0.51,0.93,0.00,0.00,0.00
Sam Webb,DB,CLE,28,3,5.62,0.39,0.85,0.00,0.00,0.00
George Kittle,TE,SF,33,8,9.84,0.79,0.59,0.00,0.00,0.00
Jonathan Mingo,WR,DAL,25,2,6.04,0.58,0.68,0.00,0.00,0.00
Brenton Cox Jr.,DL,GB,26,2,6.53,0.49,0.79,0.00,0.00,0.00
Jordon Riley,DL,GB,28,2,3.62,0.42,0.82,0.00,0.00,0.00
Perrion Winfrey,DL,DAL,26,3,4.08,0.38,0.66,0.00,0.00,0.00
Drake Jackson,DL,WAS,25,3,6.00,0.46,1.09,0.00,0.00,0.00
Jelani Woods,TE,NYJ,28,3,4.26,0.52,0.87,0.00,0.00,0.00
Chris Oladokun,QB,KC,29,3,10.48,0.42,0.91,0.00,0.00,0.00
Desjuan Johnson,DL,LA,27,2,6.52,0.37,1.02,0.00,0.00,0.00
Haggai Ndubuisi,DL,HOU,26,4,0.00,0.47,,0.00,0.00,0.00
Israel Mukuamu,DB,CAR,27,4,4.48,0.44,1.00,0.00,0.00,0.00
Jamin Davis,LB,LV,28,4,6.81,0.59,0.71,0.00,0.00,0.00
Khalid Kareem,DL,ATL,28,5,4.43,0.31,0.90,0.00,0.00,0.00
Isaiah Hodgins,WR,NYG,28,5,5.56,0.49,0.73,0.00,0.00,0.00
Kenny Moore II,DB,IND,31,8,8.92,0.84,0.86,0.00,0.00,0.00
BJ Ojulari,LB,ARI,24,2,5.89,0.58,0.97,0.00,0.00,0.00
Dylan Drummond,WR,ATL,26,2,5.32,0.56,0.57,0.00,0.00,0.00
Adam Butler,DL,LV,32,8,6.16,0.77,0.79,0.00,0.00,0.00
Isaiah Simmons,LB,CAR,28,5,7.03,0.63,0.81,0.00,0.00,0.00
Teagan Quitoriano,TE,ATL,26,3,3.26,0.37,0.66,0.00,0.00,0.00
Anthony Firkser,TE,DET,31,8,3.57,0.46,0.83,0.00,0.00,0.00
Carl Lawson,DL,BAL,31,8,7.72,0.44,0.77,0.00,0.00,0.00
Brandon Graham,DL,PHI,38,15,8.03,0.51,1.01,0.00,0.00,0.00
Malcolm Rodriguez,LB,DET,27,3,4.83,0.63,1.07,0.00,0.00,0.00
Nikola Kalinic,TE,CHI,29,3,3.50,0.40,0.00,0.00,0.00,0.00
Eric Wilson,LB,MIN,32,8,7.12,0.73,1.10,0.00,0.00,0.00
Tommy Hudson,TE,NO,29,4,3.22,0.71,0.31,0.00,0.00,0.00
Quinton Bohanna,DL,GB,27,4,3.44,0.39,0.72,0.00,0.00,0.00
Jeremiah Pharms Jr.,DL,NE,30,5,4.29,0.49,1.50,0.00,0.00,0.00
Chidobe Awuzie,DB,BAL,31,8,6.37,0.69,0.80,0.00,0.00,0.00
Isaiah Foskey,DL,CIN,26,2,3.76,0.40,0.95,0.00,0.00,0.00
Zach Cunningham,LB,DET,32,8,5.42,0.49,0.73,0.00,0.00,0.00
Tom Kennedy,WR,DET,30,6,4.91,0.34,0.69,0.00,0.00,0.00
Mike Edwards,DB,KC,30,6,6.14,0.59,1.11,0.00,0.00,0.00
George Odum,DB,IND,33,7,4.63,0.46,1.02,0.00,0.00,0.00
Chris Wormley,DL,IND,33,8,5.46,0.40,1.08,0.00,0.00,0.00
Nick Mullens,QB,JAX,31,8,8.64,0.38,1.38,0.00,0.00,0.00
Channing Tindall,LB,ARI,26,3,3.62,0.34,0.35,0.00,0.00,0.00
Amen Ogbongbemiga,LB,CHI,28,4,3.77,0.41,1.15,0.00,0.00,0.00
DeMarvion Overshown,LB,DAL,26,2,7.49,0.67,0.82,0.00,0.00,0.00
D'Shawn Jamison,DB,PIT,27,2,4.69,0.42,0.48,0.00,0.00,0.00
Truman Jones,LB,TEN,26,2,5.65,0.40,0.78,0.00,0.00,0.00
Malik Willis,QB,GB,27,3,9.36,0.43,1.17,0.00,0.00,0.00
Samuel Womack,DB,NYJ,27,3,5.05,0.54,1.01,0.00,0.00,0.00
Ahkello Witherspoon,DB,LA,31,8,7.17,0.58,0.80,0.00,0.00,0.00
Josh Whyle,TE,GB,27,2,3.45,0.59,0.85,0.00,0.00,0.00
Dorian Etheridge,LB,ATL,28,1,0.00,0.68,,0.00,0.00,0.00
Denzel Perryman,LB,LAC,34,10,7.43,0.70,0.59,0.00,0.00,0.00
Rashard Robinson,DB,TB,31,6,5.04,0.69,0.47,0.00,0.00,0.00
Jon Rhattigan,LB,LV,27,4,2.78,0.41,0.45,0.00,0.00,0.00
Alim McNeill,DL,DET,26,4,5.93,0.63,1.17,0.00,0.00,0.00
Bryce Huff,DL,SF,28,5,7.58,0.63,0.82,0.00,0.00,0.00
Devin Duvernay,WR,CHI,29,5,4.84,0.56,0.92,0.00,0.00,0.00
Alex Highsmith,LB,PIT,29,5,11.51,0.80,0.86,0.00,0.00,0.00
D.J. Wonnum,LB,CAR,29,5,7.55,0.77,1.02,0.00,0.00,0.00
James Lynch,DL,TEN,27,5,3.73,0.62,0.85,0.00,0.00,0.00
Troy Dye,LB,LAC,30,5,4.71,0.65,0.95,0.00,0.00,0.00
Josh Metellus,DB,MIN,28,5,7.46,0.81,0.75,0.00,0.00,0.00
Kam Curl,DB,LA,27,5,7.76,0.88,0.61,0.00,0.00,0.00
Antoine Winfield Jr.,DB,TB,28,5,10.50,0.78,0.63,0.00,0.00,0.00
Logan Wilson,LB,DAL,30,5,8.12,0.81,0.66,0.00,0.00,0.00
Kenny Pickett,QB,LV,28,3,11.37,0.56,0.64,0.00,0.00,0.00
Sam Roberts,DL,ATL,28,3,4.39,0.32,0.93,0.00,0.00,0.00
A.J. Bouye,DB,CAR,35,8,5.29,0.81,0.93,0.00,0.00,0.00
Pierre Desir,DB,TB,36,7,6.31,0.78,0.65,0.00,0.00,0.00
Nick Whiteside,DB,DET,26,2,5.70,0.53,1.18,0.00,0.00,0.00
Erick Hallett,DB,TEN,26,2,5.60,0.55,0.72,0.00,0.00,0.00
Victor Dimukeje,LB,NYG,27,4,4.83,0.48,0.90,0.00,0.00,0.00
Auden Tate,WR,ARI,29,4,4.62,0.74,0.80,0.00,0.00,0.00
Deandre Baker,DB,KC,29,3,5.13,0.74,0.61,0.00,0.00,0.00
Zaire Barnes,LB,NYG,27,2,5.01,0.64,1.30,0.00,0.00,0.00
Kyler Gordon,DB,CHI,27,3,7.75,0.64,0.60,0.00,0.00,0.00
Nakobe Dean,LB,PHI,26,3,8.83,0.61,0.73,0.00,0.00,0.00
Arron Mosby,DL,GB,27,3,3.72,0.46,0.72,0.00,0.00,0.00
John Penisini,DL,NO,29,3,4.30,0.72,0.62,0.00,0.00,0.00
Ta'Quon Graham,DL,PHI,28,4,3.68,0.44,0.85,0.00,0.00,0.00
E.J. Jenkins,TE,PHI,28,2,3.36,0.35,0.00,0.00,0.00,0.00
Ashtyn Davis,DB,MIA,30,5,6.66,0.68,0.96,0.00,0.00,0.00
Richard Sherman,DB,TB,38,10,5.70,0.72,0.74,0.00,0.00,0.00
Foster Moreau,TE,NO,29,6,4.82,0.65,0.66,0.00,0.00,0.00
Tanner Hudson,TE,CIN,32,7,4.36,0.62,0.61,0.00,0.00,0.00
Stone Smartt,TE,NYJ,28,3,3.27,0.50,0.79,0.00,0.00,0.00
Deven Thompkins,WR,ATL,27,3,4.34,0.44,1.14,0.00,0.00,0.00
Buddy Johnson,LB,IND,27,4,3.71,0.38,0.71,0.00,0.00,0.00
Shaquill Griffin,DB,SEA,31,8,6.49,0.54,0.77,0.00,0.00,0.00
Akeem Davis-Gaither,LB,ARI,29,5,5.48,0.73,0.75,0.00,0.00,0.00
Malcolm Roach,DL,DEN,28,5,5.10,0.63,0.89,0.00,0.00,0.00
Tavon Austin,WR,BUF,36,9,5.44,0.82,0.83,0.00,0.00,0.00
Parris Campbell,WR,DAL,29,6,6.12,0.44,0.77,0.00,0.00,0.00
Lil'Jordan Humphrey,WR,DEN,28,6,5.26,0.53,0.72,0.00,0.00,0.00
Jordan Poyer,DB,BUF,35,12,7.48,0.77,0.79,0.00,0.00,0.00
Deshazor Everett,DB,WAS,34,6,4.66,0.72,0.40,0.00,0.00,0.00
Trevian Thomas,DB,JAX,24,0,0.00,0.47,,0.00,0.00,0.00
Arthur Maulet,DB,DET,33,8,6.32,0.55,0.79,0.00,0.00,0.00
Jaylinn Hawkins,DB,NE,29,5,6.22,0.70,0.85,0.00,0.00,0.00
Sharrod Neasman,DB,LA,35,5,5.86,0.74,0.54,0.00,0.00,0.00
Jeremy Sprinkle,TE,DAL,32,5,3.12,0.72,0.61,0.00,0.00,0.00
Patrick Queen,LB,PIT,27,5,8.97,0.94,0.62,0.00,0.00,0.00
Garrett Griffin,TE,DET,32,6,3.23,0.71,0.83,0.00,0.00,0.00
Alohi Gilman,DB,BAL,29,5,7.01,0.77,0.76,0.00,0.00,0.00
Grant Delpit,DB,CLE,28,5,8.34,0.85,0.67,0.00,0.00,0.00
Denico Autry,DL,HOU,36,11,9.48,0.65,0.81,0.00,0.00,0.00
K'Lavon Chaisson,LB,NE,27,5,7.35,0.67,0.91,0.00,0.00,0.00
Noah Igbinoghene,DB,WAS,27,5,5.51,0.52,0.57,0.00,0.00,0.00
Yetur Gross-Matos,DL,SF,28,5,6.02,0.59,1.11,0.00,0.00,0.00
Cole Kmet,TE,CHI,27,5,6.54,0.87,0.74,0.00,0.00,0.00
Dominic Lovett,WR,DET,24,0,0.00,0.48,,0.00,0.00,0.00
Jimmy Garoppolo,QB,LA,35,11,13.23,0.47,0.48,0.00,0.00,0.00
Teddy Bridgewater,QB,TB,34,11,11.51,0.44,0.64,0.00,0.00,0.00
A.J. Terrell,DB,ATL,28,5,7.09,0.85,0.72,0.00,0.00,0.00
Dane Jackson,DB,BUF,30,5,6.28,0.52,0.76,0.00,0.00,0.00
Kevin Givens,DL,SF,29,6,4.92,0.47,1.17,0.00,0.00,0.00
Ty Summers,LB,CHI,31,6,3.58,0.35,0.79,0.00,0.00,0.00
Durham Smythe,TE,CHI,31,7,3.65,0.60,0.67,0.00,0.00,0.00
Fabian Moreau,DB,MIN,32,8,5.65,0.62,0.68,0.00,0.00,0.00
Greg Dulcich,TE,MIA,26,3,5.54,0.47,0.61,0.00,0.00,0.00
Jaylon Ferguson,LB,BAL,31,3,4.03,0.75,0.32,0.00,0.00,0.00
Raheem Layne,DB,NYG,27,3,4.64,0.32,0.84,0.00,0.00,0.00
C.J. Brewer,DL,TB,29,3,4.90,0.42,1.36,0.00,0.00,0.00
John Ridgeway,DL,NO,27,3,3.46,0.47,0.67,0.00,0.00,0.00
Esezi Otomewo,DL,PIT,27,3,4.27,0.40,0.98,0.00,0.00,0.00
Hayden Rucci,TE,SF,25,1,0.00,0.47,,0.00,0.00,0.00
Durell Nchami,DL,IND,26,2,4.47,0.50,0.00,0.00,0.00,0.00
Talanoa Hufanga,DB,DEN,26,4,8.14,0.74,0.78,0.00,0.00,0.00
Jordan Elliott,DL,SF,29,5,3.52,0.68,1.01,0.00,0.00,0.00
Jeff Okudah,DB,MIN,27,5,5.80,0.50,0.74,0.00,0.00,0.00
Jared Wayne,WR,HOU,26,2,5.10,0.51,0.00,0.00,0.00,0.00
Khari Willis,DB,IND,30,3,7.23,0.81,0.71,0.00,0.00,0.00
Teair Tart,DL,LAC,29,5,5.23,0.72,0.80,0.00,0.00,0.00
Nick Westbrook-Ikhine,WR,MIA,29,5,5.72,0.74,0.81,0.00,0.00,0.00
Ross Dwelley,TE,CAR,31,7,3.18,0.31,0.98,0.00,0.00,0.00
Javelin Guidry,DB,DET,28,4,5.14,0.84,0.77,0.00,0.00,0.00
Michael Davis,DB,NO,30,8,7.46,0.53,0.74,0.00,0.00,0.00
Ali Gaye,LB,TEN,29,2,4.38,0.46,1.15,0.00,0.00,0.00
Juwan Johnson,TE,NO,30,5,7.04,0.81,0.61,0.00,0.00,0.00
Broderick Washington,DL,BAL,30,5,5.22,0.49,0.85,0.00,0.00,0.00
Marcedes Lewis,TE,DEN,42,19,3.31,0.35,0.74,0.00,0.00,0.00
Taven Bryan,DL,BAL,30,7,4.56,0.52,1.04,0.00,0.00,0.00
Quinton Bell,LB,MIA,30,6,4.36,0.47,0.99,0.00,0.00,0.00
Isaiah Rodgers,DB,MIN,28,5,6.18,0.75,1.00,0.00,0.00,0.00
Michael Hoecht,LB,BUF,29,5,6.54,0.62,0.96,0.00,0.00,0.00
Joe Giles-Harris,LB,CIN,29,6,3.82,0.42,0.76,0.00,0.00,0.00
Alton Robinson,DL,SEA,28,2,4.29,0.82,1.08,0.00,0.00,0.00
Ja'Markis Weston,LB,SEA,26,0,0.00,0.48,,0.00,0.00,0.00
Kendall Sheffield,DB,MIA,30,6,4.74,0.31,0.83,0.00,0.00,0.00
Ronnie Harrison,LB,ATL,29,7,6.15,0.49,1.11,0.00,0.00,0.00
